Route,Departing Port,Arriving Port,Airline,Month,Sectors Scheduled,Sectors Flown,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,"OnTime Departures 
(%)","OnTime Arrivals 
(%)","Cancellations 

(%)"
Darwin-Brisbane,Darwin,Brisbane,Jetstar,Jul-24, 30, 29, 1, 16, 20, 13, 9,55.2,69.0,3.3
Darwin-Melbourne,Darwin,Melbourne,Jetstar,Jul-24, 31, 29, 2, 20, 22, 9, 7,69.0,75.9,6.5
Gold Coast-Adelaide,Gold Coast,Adelaide,Jetstar,Jul-24, 31, 30, 1, 28, 28, 2, 2,93.3,93.3,3.2
Gold Coast-Canberra,Gold Coast,Canberra,Jetstar,Jul-24, 16, 16, 0, 11, 13, 5, 3,68.8,81.3,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Jetstar,Jul-24, 241, 227, 14, 154, 159, 73, 68,67.8,70.0,5.8
Gold Coast-Sydney,Gold Coast,Sydney,Jetstar,Jul-24, 289, 276, 13, 225, 226, 51, 50,81.5,81.9,4.5
Hamilton Island-Sydney,Hamilton Island,Sydney,Jetstar,Jul-24, 20, 20, 0, 8, 10, 12, 10,40.0,50.0,0.0
Hobart-Brisbane,Hobart,Brisbane,Jetstar,Jul-24, 26, 26, 0, 16, 18, 10, 8,61.5,69.2,0.0
Hobart-Melbourne,Hobart,Melbourne,Jetstar,Jul-24, 168, 164, 4, 97, 101, 67, 63,59.1,61.6,2.4
Hobart-Sydney,Hobart,Sydney,Jetstar,Jul-24, 74, 73, 1, 44, 47, 29, 26,60.3,64.4,1.4
Launceston-Brisbane,Launceston,Brisbane,Jetstar,Jul-24, 25, 24, 1, 14, 11, 10, 13,58.3,45.8,4.0
Launceston-Melbourne,Launceston,Melbourne,Jetstar,Jul-24, 83, 81, 2, 36, 40, 45, 41,44.4,49.4,2.4
Launceston-Sydney,Launceston,Sydney,Jetstar,Jul-24, 46, 45, 1, 25, 25, 20, 20,55.6,55.6,2.2
Mackay-Brisbane,Mackay,Brisbane,Jetstar,Jul-24, 31, 30, 1, 13, 12, 17, 18,43.3,40.0,3.2
Melbourne-Adelaide,Melbourne,Adelaide,Jetstar,Jul-24, 105, 102, 3, 71, 72, 31, 30,69.6,70.6,2.9
Melbourne-Brisbane,Melbourne,Brisbane,Jetstar,Jul-24, 170, 159, 11, 73, 65, 86, 94,45.9,40.9,6.5
Melbourne-Cairns,Melbourne,Cairns,Jetstar,Jul-24, 120, 119, 1, 65, 72, 54, 47,54.6,60.5,0.8
Melbourne-Canberra,Melbourne,Canberra,Jetstar,Jul-24, 31, 31, 0, 20, 21, 11, 10,64.5,67.7,0.0
Melbourne-Darwin,Melbourne,Darwin,Jetstar,Jul-24, 31, 29, 2, 23, 24, 6, 5,79.3,82.8,6.5
Melbourne-Gold Coast,Melbourne,Gold Coast,Jetstar,Jul-24, 240, 229, 11, 143, 151, 86, 78,62.4,65.9,4.6
Melbourne-Hobart,Melbourne,Hobart,Jetstar,Jul-24, 167, 164, 3, 114, 110, 50, 54,69.5,67.1,1.8
Melbourne-Launceston,Melbourne,Launceston,Jetstar,Jul-24, 83, 81, 2, 44, 39, 37, 42,54.3,48.1,2.4
Melbourne-Newcastle,Melbourne,Newcastle,Jetstar,Jul-24, 62, 61, 1, 43, 44, 18, 17,70.5,72.1,1.6
Melbourne-Perth,Melbourne,Perth,Jetstar,Jul-24, 88, 83, 5, 59, 64, 24, 19,71.1,77.1,5.7
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Jetstar,Jul-24, 80, 80, 0, 56, 56, 24, 24,70.0,70.0,0.0
Melbourne-Sydney,Melbourne,Sydney,Jetstar,Jul-24, 446, 412, 34, 289, 283, 123, 129,70.1,68.7,7.6
Newcastle-Brisbane,Newcastle,Brisbane,Jetstar,Jul-24, 59, 58, 1, 39, 41, 19, 17,67.2,70.7,1.7
Newcastle-Melbourne,Newcastle,Melbourne,Jetstar,Jul-24, 62, 61, 1, 37, 41, 24, 20,60.7,67.2,1.6
Perth-Adelaide,Perth,Adelaide,Jetstar,Jul-24, 31, 29, 2, 20, 24, 9, 5,69.0,82.8,6.5
Perth-Brisbane,Perth,Brisbane,Jetstar,Jul-24, 28, 26, 2, 10, 15, 16, 11,38.5,57.7,7.1
Perth-Melbourne,Perth,Melbourne,Jetstar,Jul-24, 89, 83, 6, 51, 62, 32, 21,61.4,74.7,6.7
Perth-Sydney,Perth,Sydney,Jetstar,Jul-24, 59, 56, 3, 26, 31, 30, 25,46.4,55.4,5.1
Proserpine-Brisbane,Proserpine,Brisbane,Jetstar,Jul-24, 32, 32, 0, 15, 15, 17, 17,46.9,46.9,0.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Jetstar,Jul-24, 80, 80, 0, 42, 52, 38, 28,52.5,65.0,0.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Jetstar,Jul-24, 91, 85, 6, 59, 61, 26, 24,69.4,71.8,6.6
Sydney-Adelaide,Sydney,Adelaide,Jetstar,Jul-24, 143, 131, 12, 76, 83, 55, 48,58.0,63.4,8.4
Sydney-Ballina,Sydney,Ballina,Jetstar,Jul-24, 82, 80, 2, 62, 63, 18, 17,77.5,78.8,2.4
Sydney-Brisbane,Sydney,Brisbane,Jetstar,Jul-24, 210, 201, 9, 126, 123, 75, 78,62.7,61.2,4.3
Sydney-Cairns,Sydney,Cairns,Jetstar,Jul-24, 124, 123, 1, 81, 76, 42, 47,65.9,61.8,0.8
Sydney-Gold Coast,Sydney,Gold Coast,Jetstar,Jul-24, 287, 277, 10, 200, 200, 77, 77,72.2,72.2,3.5
Sydney-Hamilton Island,Sydney,Hamilton Island,Jetstar,Jul-24, 19, 19, 0, 14, 13, 5, 6,73.7,68.4,0.0
Sydney-Hobart,Sydney,Hobart,Jetstar,Jul-24, 74, 73, 1, 52, 52, 21, 21,71.2,71.2,1.4
Sydney-Launceston,Sydney,Launceston,Jetstar,Jul-24, 46, 45, 1, 27, 31, 18, 14,60.0,68.9,2.2
Sydney-Melbourne,Sydney,Melbourne,Jetstar,Jul-24, 447, 415, 32, 281, 291, 134, 124,67.7,70.1,7.2
Sydney-Perth,Sydney,Perth,Jetstar,Jul-24, 59, 57, 2, 32, 38, 25, 19,56.1,66.7,3.4
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Jetstar,Jul-24, 90, 87, 3, 69, 70, 18, 17,79.3,80.5,3.3
Townsville-Brisbane,Townsville,Brisbane,Jetstar,Jul-24, 63, 61, 2, 28, 29, 33, 32,45.9,47.5,3.2
All Ports-All Ports,All Ports,All Ports,Jetstar,Jul-24,8 128,7 829, 299,5 087,5 235,2 742,2 594,65.0,66.9,3.7
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,Jul-24, 257, 257, 0, 158, 163, 99, 94,61.5,63.4,0.0
Adelaide-Perth,Adelaide,Perth,Qantas,Jul-24, 94, 94, 0, 79, 78, 15, 16,84.0,83.0,0.0
Adelaide-Sydney,Adelaide,Sydney,Qantas,Jul-24, 245, 232, 13, 175, 175, 57, 57,75.4,75.4,5.3
Brisbane-Cairns,Brisbane,Cairns,Qantas,Jul-24, 71, 71, 0, 52, 47, 19, 24,73.2,66.2,0.0
Brisbane-Darwin,Brisbane,Darwin,Qantas,Jul-24, 25, 25, 0, 14, 12, 11, 13,56.0,48.0,0.0
Brisbane-Mackay,Brisbane,Mackay,Qantas,Jul-24, 112, 111, 1, 84, 82, 27, 29,75.7,73.9,0.9
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,Jul-24, 383, 374, 9, 268, 267, 106, 107,71.7,71.4,2.3
Brisbane-Mount Isa,Brisbane,Mount Isa,Qantas,Jul-24, 50, 50, 0, 43, 44, 7, 6,86.0,88.0,0.0
Brisbane-Perth,Brisbane,Perth,Qantas,Jul-24, 154, 154, 0, 119, 113, 35, 41,77.3,73.4,0.0
Brisbane-Sydney,Brisbane,Sydney,Qantas,Jul-24, 554, 539, 15, 411, 403, 128, 136,76.3,74.8,2.7
Brisbane-Townsville,Brisbane,Townsville,Qantas,Jul-24, 23, 23, 0, 18, 19, 5, 4,78.3,82.6,0.0
Cairns-Brisbane,Cairns,Brisbane,Qantas,Jul-24, 71, 71, 0, 41, 50, 30, 21,57.7,70.4,0.0
Cairns-Melbourne,Cairns,Melbourne,Qantas,Jul-24, 31, 31, 0, 12, 16, 19, 15,38.7,51.6,0.0
Cairns-Sydney,Cairns,Sydney,Qantas,Jul-24, 45, 45, 0, 27, 28, 18, 17,60.0,62.2,0.0
Canberra-Melbourne,Canberra,Melbourne,Qantas,Jul-24, 13, 13, 0, 9, 7, 4, 6,69.2,53.8,0.0
Melbourne-Canberra,Melbourne,Canberra,Qantas,Jul-24, 13, 13, 0, 9, 8, 4, 5,69.2,61.5,0.0
Canberra-Sydney,Canberra,Sydney,Qantas,Jul-24, 46, 44, 2, 36, 34, 8, 10,81.8,77.3,4.3
Darwin-Brisbane,Darwin,Brisbane,Qantas,Jul-24, 25, 25, 0, 4, 11, 21, 14,16.0,44.0,0.0
Darwin-Melbourne,Darwin,Melbourne,Qantas,Jul-24, 31, 31, 0, 12, 18, 19, 13,38.7,58.1,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,Jul-24, 41, 41, 0, 20, 23, 21, 18,48.8,56.1,0.0
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,Jul-24, 103, 103, 0, 72, 75, 31, 28,69.9,72.8,0.0
Hamilton Island-Sydney,Hamilton Island,Sydney,Qantas,Jul-24, 31, 31, 0, 14, 14, 17, 17,45.2,45.2,0.0
Hobart-Sydney,Hobart,Sydney,Qantas,Jul-24, 75, 75, 0, 62, 61, 13, 14,82.7,81.3,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,Jul-24, 18, 17, 1, 12, 13, 5, 4,70.6,76.5,5.6
Karratha-Perth,Karratha,Perth,Qantas,Jul-24, 5, 5, 0, 5, 5, 0, 0,100.0,100.0,0.0
Mackay-Brisbane,Mackay,Brisbane,Qantas,Jul-24, 112, 110, 2, 76, 84, 34, 26,69.1,76.4,1.8
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,Jul-24, 257, 256, 1, 172, 156, 84, 100,67.2,60.9,0.4
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,Jul-24, 381, 372, 9, 252, 234, 120, 138,67.7,62.9,2.4
Melbourne-Cairns,Melbourne,Cairns,Qantas,Jul-24, 31, 31, 0, 20, 14, 11, 17,64.5,45.2,0.0
Melbourne-Darwin,Melbourne,Darwin,Qantas,Jul-24, 31, 31, 0, 16, 21, 15, 10,51.6,67.7,0.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,Jul-24, 41, 41, 0, 29, 29, 12, 12,70.7,70.7,0.0
Melbourne-Perth,Melbourne,Perth,Qantas,Jul-24, 209, 205, 4, 143, 130, 62, 75,69.8,63.4,1.9
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Qantas,Jul-24, 33, 33, 0, 20, 18, 13, 15,60.6,54.5,0.0
Melbourne-Sydney,Melbourne,Sydney,Qantas,Jul-24, 943, 842, 101, 666, 582, 176, 260,79.1,69.1,10.7
Mount Isa-Brisbane,Mount Isa,Brisbane,Qantas,Jul-24, 50, 50, 0, 40, 41, 10, 9,80.0,82.0,0.0
Newman-Perth,Newman,Perth,Qantas,Jul-24, 20, 20, 0, 18, 18, 2, 2,90.0,90.0,0.0
Perth-Adelaide,Perth,Adelaide,Qantas,Jul-24, 94, 94, 0, 69, 75, 25, 19,73.4,79.8,0.0
Perth-Brisbane,Perth,Brisbane,Qantas,Jul-24, 155, 155, 0, 122, 132, 33, 23,78.7,85.2,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,Jul-24, 18, 17, 1, 15, 13, 2, 4,88.2,76.5,5.6
Perth-Karratha,Perth,Karratha,Qantas,Jul-24, 5, 5, 0, 5, 5, 0, 0,100.0,100.0,0.0
Perth-Melbourne,Perth,Melbourne,Qantas,Jul-24, 209, 203, 6, 150, 156, 53, 47,73.9,76.8,2.9
Perth-Newman,Perth,Newman,Qantas,Jul-24, 20, 20, 0, 20, 20, 0, 0,100.0,100.0,0.0
Perth-Sydney,Perth,Sydney,Qantas,Jul-24, 203, 202, 1, 125, 142, 77, 60,61.9,70.3,0.5
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Qantas,Jul-24, 33, 33, 0, 6, 14, 27, 19,18.2,42.4,0.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Qantas,Jul-24, 58, 58, 0, 36, 36, 22, 22,62.1,62.1,0.0
Sydney-Adelaide,Sydney,Adelaide,Qantas,Jul-24, 244, 235, 9, 174, 180, 61, 55,74.0,76.6,3.7
Sydney-Brisbane,Sydney,Brisbane,Qantas,Jul-24, 554, 544, 10, 374, 337, 170, 207,68.8,61.9,1.8
Sydney-Cairns,Sydney,Cairns,Qantas,Jul-24, 45, 45, 0, 36, 30, 9, 15,80.0,66.7,0.0
Sydney-Canberra,Sydney,Canberra,Qantas,Jul-24, 46, 44, 2, 38, 36, 6, 8,86.4,81.8,4.3
Sydney-Gold Coast,Sydney,Gold Coast,Qantas,Jul-24, 103, 103, 0, 74, 81, 29, 22,71.8,78.6,0.0
Sydney-Hamilton Island,Sydney,Hamilton Island,Qantas,Jul-24, 31, 31, 0, 19, 15, 12, 16,61.3,48.4,0.0
Sydney-Hobart,Sydney,Hobart,Qantas,Jul-24, 75, 75, 0, 55, 60, 20, 15,73.3,80.0,0.0
Sydney-Melbourne,Sydney,Melbourne,Qantas,Jul-24, 948, 848, 100, 586, 585, 262, 263,69.1,69.0,10.5
Sydney-Perth,Sydney,Perth,Qantas,Jul-24, 202, 201, 1, 120, 135, 81, 66,59.7,67.2,0.5
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Qantas,Jul-24, 58, 58, 0, 32, 40, 26, 18,55.2,69.0,0.0
Townsville-Brisbane,Townsville,Brisbane,Qantas,Jul-24, 23, 23, 0, 15, 18, 8, 5,65.2,78.3,0.0
All Ports-All Ports,All Ports,All Ports,Qantas,Jul-24,8 163,7 875, 288,5 532,5 444,2 343,2 431,70.2,69.1,3.5
Adelaide-Alice Springs,Adelaide,Alice Springs,QantasLink,Jul-24, 54, 54, 0, 44, 46, 10, 8,81.5,85.2,0.0
Adelaide-Brisbane,Adelaide,Brisbane,QantasLink,Jul-24, 152, 151, 1, 127, 129, 24, 22,84.1,85.4,0.7
Adelaide-Canberra,Adelaide,Canberra,QantasLink,Jul-24, 85, 84, 1, 66, 63, 18, 21,78.6,75.0,1.2
Adelaide-Gold Coast,Adelaide,Gold Coast,QantasLink,Jul-24, 9, 9, 0, 6, 7, 3, 2,66.7,77.8,0.0
Cairns-Sydney,Cairns,Sydney,QantasLink,Jul-24, 19, 19, 0, 17, 16, 2, 3,89.5,84.2,0.0
Gold Coast-Adelaide,Gold Coast,Adelaide,QantasLink,Jul-24, 9, 9, 0, 5, 5, 4, 4,55.6,55.6,0.0
Sydney-Cairns,Sydney,Cairns,QantasLink,Jul-24, 19, 19, 0, 14, 14, 5, 5,73.7,73.7,0.0
Adelaide-Melbourne,Adelaide,Melbourne,QantasLink,Jul-24, 14, 13, 1, 9, 8, 4, 5,69.2,61.5,7.1
Adelaide-Port Lincoln,Adelaide,Port Lincoln,QantasLink,Jul-24, 143, 140, 3, 135, 132, 5, 8,96.4,94.3,2.1
Albury-Sydney,Albury,Sydney,QantasLink,Jul-24, 111, 111, 0, 81, 71, 30, 40,73.0,64.0,0.0
Alice Springs-Adelaide,Alice Springs,Adelaide,QantasLink,Jul-24, 54, 54, 0, 46, 45, 8, 9,85.2,83.3,0.0
Ballina-Sydney,Ballina,Sydney,QantasLink,Jul-24, 58, 57, 1, 55, 54, 2, 3,96.5,94.7,1.7
Brisbane-Adelaide,Brisbane,Adelaide,QantasLink,Jul-24, 152, 151, 1, 125, 128, 26, 23,82.8,84.8,0.7
Brisbane-Cairns,Brisbane,Cairns,QantasLink,Jul-24, 107, 107, 0, 56, 45, 51, 62,52.3,42.1,0.0
Brisbane-Canberra,Brisbane,Canberra,QantasLink,Jul-24, 149, 148, 1, 108, 113, 40, 35,73.0,76.4,0.7
Brisbane-Darwin,Brisbane,Darwin,QantasLink,Jul-24, 25, 25, 0, 19, 9, 6, 16,76.0,36.0,0.0
Brisbane-Emerald,Brisbane,Emerald,QantasLink,Jul-24, 140, 134, 6, 118, 112, 16, 22,88.1,83.6,4.3
Brisbane-Gladstone,Brisbane,Gladstone,QantasLink,Jul-24, 140, 137, 3, 108, 98, 29, 39,78.8,71.5,2.1
Brisbane-Hamilton Island,Brisbane,Hamilton Island,QantasLink,Jul-24, 26, 26, 0, 18, 14, 8, 12,69.2,53.8,0.0
Brisbane-Hobart,Brisbane,Hobart,QantasLink,Jul-24, 17, 17, 0, 12, 13, 5, 4,70.6,76.5,0.0
Brisbane-Mackay,Brisbane,Mackay,QantasLink,Jul-24, 8, 8, 0, 7, 6, 1, 2,87.5,75.0,0.0
Brisbane-Melbourne,Brisbane,Melbourne,QantasLink,Jul-24, 23, 20, 3, 6, 8, 14, 12,30.0,40.0,13.0
Brisbane-Mount Isa,Brisbane,Mount Isa,QantasLink,Jul-24, 4, 4, 0, 4, 4, 0, 0,100.0,100.0,0.0
Brisbane-Newcastle,Brisbane,Newcastle,QantasLink,Jul-24, 85, 85, 0, 63, 59, 22, 26,74.1,69.4,0.0
Brisbane-Proserpine,Brisbane,Proserpine,QantasLink,Jul-24, 17, 17, 0, 8, 13, 9, 4,47.1,76.5,0.0
Brisbane-Rockhampton,Brisbane,Rockhampton,QantasLink,Jul-24, 197, 195, 2, 154, 155, 41, 40,79.0,79.5,1.0
Brisbane-Townsville,Brisbane,Townsville,QantasLink,Jul-24, 159, 159, 0, 118, 96, 41, 63,74.2,60.4,0.0
Broome-Perth,Broome,Perth,QantasLink,Jul-24, 84, 83, 1, 55, 47, 28, 36,66.3,56.6,1.2
Cairns-Brisbane,Cairns,Brisbane,QantasLink,Jul-24, 107, 106, 1, 52, 57, 54, 49,49.1,53.8,0.9
Cairns-Townsville,Cairns,Townsville,QantasLink,Jul-24, 146, 145, 1, 120, 129, 25, 16,82.8,89.0,0.7
Canberra-Adelaide,Canberra,Adelaide,QantasLink,Jul-24, 85, 83, 2, 60, 64, 23, 19,72.3,77.1,2.4
Canberra-Brisbane,Canberra,Brisbane,QantasLink,Jul-24, 149, 146, 3, 96, 91, 50, 55,65.8,62.3,2.0
Canberra-Melbourne,Canberra,Melbourne,QantasLink,Jul-24, 187, 175, 12, 115, 111, 60, 64,65.7,63.4,6.4
Canberra-Sydney,Canberra,Sydney,QantasLink,Jul-24, 382, 351, 31, 279, 269, 72, 82,79.5,76.6,8.1
Coffs Harbour-Sydney,Coffs Harbour,Sydney,QantasLink,Jul-24, 116, 116, 0, 88, 90, 28, 26,75.9,77.6,0.0
Darwin-Brisbane,Darwin,Brisbane,QantasLink,Jul-24, 27, 27, 0, 8, 9, 19, 18,29.6,33.3,0.0
Darwin-Perth,Darwin,Perth,QantasLink,Jul-24, 46, 43, 3, 19, 16, 24, 27,44.2,37.2,6.5
Devonport-Melbourne,Devonport,Melbourne,QantasLink,Jul-24, 120, 118, 2, 83, 81, 35, 37,70.3,68.6,1.7
Dubbo-Sydney,Dubbo,Sydney,QantasLink,Jul-24, 116, 111, 5, 90, 81, 21, 30,81.1,73.0,4.3
Emerald-Brisbane,Emerald,Brisbane,QantasLink,Jul-24, 140, 134, 6, 112, 120, 22, 14,83.6,89.6,4.3
Gladstone-Brisbane,Gladstone,Brisbane,QantasLink,Jul-24, 140, 137, 3, 106, 105, 31, 32,77.4,76.6,2.1
Hamilton Island-Brisbane,Hamilton Island,Brisbane,QantasLink,Jul-24, 26, 26, 0, 11, 12, 15, 14,42.3,46.2,0.0
Hobart-Brisbane,Hobart,Brisbane,QantasLink,Jul-24, 17, 17, 0, 12, 13, 5, 4,70.6,76.5,0.0
Hobart-Melbourne,Hobart,Melbourne,QantasLink,Jul-24, 112, 98, 14, 62, 57, 36, 41,63.3,58.2,12.5
Hobart-Sydney,Hobart,Sydney,QantasLink,Jul-24, 10, 10, 0, 9, 9, 1, 1,90.0,90.0,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,QantasLink,Jul-24, 73, 67, 6, 52, 44, 15, 23,77.6,65.7,8.2
Karratha-Perth,Karratha,Perth,QantasLink,Jul-24, 153, 146, 7, 95, 88, 51, 58,65.1,60.3,4.6
Launceston-Melbourne,Launceston,Melbourne,QantasLink,Jul-24, 97, 82, 15, 51, 53, 31, 29,62.2,64.6,15.5
Launceston-Sydney,Launceston,Sydney,QantasLink,Jul-24, 25, 24, 1, 21, 21, 3, 3,87.5,87.5,4.0
Mackay-Brisbane,Mackay,Brisbane,QantasLink,Jul-24, 13, 13, 0, 8, 11, 5, 2,61.5,84.6,0.0
Melbourne-Adelaide,Melbourne,Adelaide,QantasLink,Jul-24, 14, 14, 0, 11, 12, 3, 2,78.6,85.7,0.0
Melbourne-Brisbane,Melbourne,Brisbane,QantasLink,Jul-24, 23, 20, 3, 13, 9, 7, 11,65.0,45.0,13.0
Melbourne-Canberra,Melbourne,Canberra,QantasLink,Jul-24, 187, 174, 13, 123, 123, 51, 51,70.7,70.7,7.0
Melbourne-Devonport,Melbourne,Devonport,QantasLink,Jul-24, 119, 118, 1, 84, 80, 34, 38,71.2,67.8,0.8
Melbourne-Hobart,Melbourne,Hobart,QantasLink,Jul-24, 112, 100, 12, 54, 51, 46, 49,54.0,51.0,10.7
Melbourne-Launceston,Melbourne,Launceston,QantasLink,Jul-24, 97, 85, 12, 50, 48, 35, 37,58.8,56.5,12.4
Melbourne-Mildura,Melbourne,Mildura,QantasLink,Jul-24, 112, 108, 4, 72, 67, 36, 41,66.7,62.0,3.6
Melbourne-Newcastle,Melbourne,Newcastle,QantasLink,Jul-24, 54, 54, 0, 41, 33, 13, 21,75.9,61.1,0.0
Mildura-Melbourne,Mildura,Melbourne,QantasLink,Jul-24, 112, 108, 4, 65, 72, 43, 36,60.2,66.7,3.6
Mount Isa-Brisbane,Mount Isa,Brisbane,QantasLink,Jul-24, 4, 4, 0, 3, 3, 1, 1,75.0,75.0,0.0
Newcastle-Brisbane,Newcastle,Brisbane,QantasLink,Jul-24, 85, 84, 1, 65, 59, 19, 25,77.4,70.2,1.2
Newcastle-Melbourne,Newcastle,Melbourne,QantasLink,Jul-24, 53, 53, 0, 47, 45, 6, 8,88.7,84.9,0.0
Newman-Perth,Newman,Perth,QantasLink,Jul-24, 105, 103, 2, 80, 59, 23, 44,77.7,57.3,1.9
Perth-Broome,Perth,Broome,QantasLink,Jul-24, 85, 85, 0, 54, 64, 31, 21,63.5,75.3,0.0
Perth-Darwin,Perth,Darwin,QantasLink,Jul-24, 48, 45, 3, 31, 23, 14, 22,68.9,51.1,6.3
Perth-Kalgoorlie,Perth,Kalgoorlie,QantasLink,Jul-24, 73, 67, 6, 53, 52, 14, 15,79.1,77.6,8.2
Perth-Karratha,Perth,Karratha,QantasLink,Jul-24, 154, 150, 4, 114, 122, 36, 28,76.0,81.3,2.6
Perth-Newman,Perth,Newman,QantasLink,Jul-24, 105, 104, 1, 85, 85, 19, 19,81.7,81.7,1.0
Perth-Port Hedland,Perth,Port Hedland,QantasLink,Jul-24, 151, 148, 3, 114, 119, 34, 29,77.0,80.4,2.0
Port Hedland-Perth,Port Hedland,Perth,QantasLink,Jul-24, 148, 145, 3, 101, 76, 44, 69,69.7,52.4,2.0
Port Lincoln-Adelaide,Port Lincoln,Adelaide,QantasLink,Jul-24, 143, 140, 3, 130, 130, 10, 10,92.9,92.9,2.1
Port Macquarie-Sydney,Port Macquarie,Sydney,QantasLink,Jul-24, 116, 112, 4, 84, 82, 28, 30,75.0,73.2,3.4
Proserpine-Brisbane,Proserpine,Brisbane,QantasLink,Jul-24, 17, 17, 0, 9, 12, 8, 5,52.9,70.6,0.0
Rockhampton-Brisbane,Rockhampton,Brisbane,QantasLink,Jul-24, 197, 192, 5, 151, 149, 41, 43,78.6,77.6,2.5
Sydney-Albury,Sydney,Albury,QantasLink,Jul-24, 111, 111, 0, 80, 84, 31, 27,72.1,75.7,0.0
Sydney-Ballina,Sydney,Ballina,QantasLink,Jul-24, 58, 57, 1, 51, 54, 6, 3,89.5,94.7,1.7
Sydney-Canberra,Sydney,Canberra,QantasLink,Jul-24, 381, 358, 23, 289, 290, 69, 68,80.7,81.0,6.0
Sydney-Coffs Harbour,Sydney,Coffs Harbour,QantasLink,Jul-24, 116, 116, 0, 74, 85, 42, 31,63.8,73.3,0.0
Sydney-Dubbo,Sydney,Dubbo,QantasLink,Jul-24, 116, 111, 5, 86, 94, 25, 17,77.5,84.7,4.3
Sydney-Hobart,Sydney,Hobart,QantasLink,Jul-24, 10, 9, 1, 9, 9, 0, 0,100.0,100.0,10.0
Sydney-Launceston,Sydney,Launceston,QantasLink,Jul-24, 24, 23, 1, 20, 19, 3, 4,87.0,82.6,4.2
Sydney-Port Macquarie,Sydney,Port Macquarie,QantasLink,Jul-24, 116, 111, 5, 87, 92, 24, 19,78.4,82.9,4.3
Sydney-Wagga Wagga,Sydney,Wagga Wagga,QantasLink,Jul-24, 116, 112, 4, 91, 91, 21, 21,81.3,81.3,3.4
Townsville-Brisbane,Townsville,Brisbane,QantasLink,Jul-24, 159, 159, 0, 95, 105, 64, 54,59.7,66.0,0.0
Townsville-Cairns,Townsville,Cairns,QantasLink,Jul-24, 146, 143, 3, 130, 125, 13, 18,90.9,87.4,2.1
Wagga Wagga-Sydney,Wagga Wagga,Sydney,QantasLink,Jul-24, 116, 110, 6, 83, 88, 27, 22,75.5,80.0,5.2
All Ports-All Ports,All Ports,All Ports,QantasLink,Jul-24,12 359,11 984, 375,9 174,9 011,2 810,2 973,76.6,75.2,3.0
Adelaide-Brisbane,Adelaide,Brisbane,Rex Airlines,Jul-24, 30, 29, 1, 27, 28, 2, 1,93.1,96.6,3.3
Adelaide-Melbourne,Adelaide,Melbourne,Rex Airlines,Jul-24, 62, 60, 2, 51, 46, 9, 14,85.0,76.7,3.2
Adelaide-Port Lincoln,Adelaide,Port Lincoln,Rex Airlines,Jul-24, 158, 150, 8, 104, 100, 46, 50,69.3,66.7,5.1
Adelaide-Sydney,Adelaide,Sydney,Rex Airlines,Jul-24, 31, 30, 1, 24, 23, 6, 7,80.0,76.7,3.2
Albury-Sydney,Albury,Sydney,Rex Airlines,Jul-24, 85, 84, 1, 63, 55, 21, 29,75.0,65.5,1.2
Brisbane-Adelaide,Brisbane,Adelaide,Rex Airlines,Jul-24, 30, 29, 1, 27, 26, 2, 3,93.1,89.7,3.3
Brisbane-Cairns,Brisbane,Cairns,Rex Airlines,Jul-24, 10, 9, 1, 6, 5, 3, 4,66.7,55.6,10.0
Brisbane-Melbourne,Brisbane,Melbourne,Rex Airlines,Jul-24, 58, 56, 2, 34, 33, 22, 23,60.7,58.9,3.4
Brisbane-Sydney,Brisbane,Sydney,Rex Airlines,Jul-24, 155, 150, 5, 120, 115, 30, 35,80.0,76.7,3.2
Cairns-Brisbane,Cairns,Brisbane,Rex Airlines,Jul-24, 9, 9, 0, 8, 9, 1, 0,88.9,100.0,0.0
Cairns-Townsville,Cairns,Townsville,Rex Airlines,Jul-24, 13, 13, 0, 11, 11, 2, 2,84.6,84.6,0.0
Canberra-Melbourne,Canberra,Melbourne,Rex Airlines,Jul-24, 31, 30, 1, 16, 16, 14, 14,53.3,53.3,3.2
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Rex Airlines,Jul-24, 92, 90, 2, 62, 55, 28, 35,68.9,61.1,2.2
